token,feature_index,count_0,count_1,freq_0,freq_1,log_odds_ratio,variance,z_score
date,5340,1539,993,8.986577416736791e-05,0.00023626307477000633,-0.9667750328605891,0.0016571181368048098,-23.749183922713023
so hot,15206,724,643,4.2276036710314726e-05,0.0001529880735922599,-1.2862501049214252,0.0029367215053693143,-23.73526262392635
cant,4487,2832,1482,0.00016536703862377253,0.0003526101478440578,-0.7573827467734819,0.0010281674743936476,-23.62019491552175
<pronoun> have,1229,5812,2495,0.0003393761400004823,0.0005936317941099354,-0.5594044859500418,0.0005731558225144531,-23.36628074428578
?,1464,120636,34127,0.007044215420698242,0.008119788471979866,-0.14318109443958882,3.789038756058607e-05,-23.26061290617745
be so,3530,13515,4887,0.0007891721493645076,0.001162756945016134,-0.387938540047168,0.000278912977986176,-23.22889579282628
this girl,17112,24,711,1.4014155815573944e-06,0.00016916721667822207,-4.793571031220887,0.04307337289259694,-23.096954920486198
bitch be,3867,88,336,5.138523799043779e-06,7.994400113063659e-05,-2.744635026484376,0.014340120436806863,-22.91966164555905
ma,11008,415,473,2.4232811097763275e-05,0.00011254021587735448,-1.5356912084788235,0.004524099380266836,-22.831677944271853
and even,2548,519,522,3.0305611951178653e-05,0.000124198716042239,-1.4106436436085055,0.003842787077696631,-22.755907275306743
who <pronoun>,18659,594,557,3.4685035643545506e-05,0.00013252621616001363,-1.3405698150342271,0.003479129847449247,-22.727628270087052
lucky,10981,399,462,2.329853404339168e-05,0.00010992300155462531,-1.5514761297089859,0.004671063734311251,-22.700592964393604
guest,8062,18211,6234,0.0010633824648225711,0.001483246735263061,-0.33319893373116827,0.00021561922119524293,-22.69132553912138
hold,8720,1748,1041,0.00010206976819009689,0.0002476836463600973,-0.8866412416165144,0.0015329933956046535,-22.645284773171078
wow <pronoun>,19128,605,559,3.532735111842598e-05,0.00013300207330960075,-1.3258047445643495,0.003442097358427324,-22.597895388653995
model,11544,408,464,2.3824064886475703e-05,0.00011039885870421243,-1.5334899854081598,0.004606448718939289,-22.594244482007376
african,2205,227,371,1.3255055708897022e-05,8.827150124841124e-05,-1.8961130565171178,0.007100999728164051,-22.5011378726987
soda,15266,142,326,8.291708857547917e-06,7.756471538270097e-05,-2.2359255516086307,0.010110033228806553,-22.23724840670112
