season,episode,overall,guest,female_flag,notes,result,url_status,video_id,video_url,video_title,channel_title,done,name_filter,n_comments,mean,variance,positive_ratio,mean_nozero,variance_nozero,mean_1000,variance_1000,positive_ratio_1000,mean_nozero_1000,variance_nozero_1000,mean_toxicity,mean_severe_toxicity,var_toxicity,var_severe_toxicity,mean_toxicity_1000,mean_severe_toxicity_1000,var_toxicity_1000,var_severe_toxicity_1000
2,15,23,Redman,0,,1,verified,5nyobyZ6gdE,https://www.youtube.com/watch?v=5nyobyZ6gdE,Redman Wilds Out Eating Spicy Wings | Hot Ones,First We Feast,1,redman,2925,0.175172991,0.194697508,2.473977695,0.274147138,0.277569684,0.1970257,0.191593641,2.769230769,0.309302512,0.266047446,0.314918683,0.223385317,0.089403147,0.059253351,0.304070866,0.216065708,0.091033407,0.06086533
2,16,24,Rob Gronkowski,0,,1,verified,vHqz5GHaPQw,https://www.youtube.com/watch?v=vHqz5GHaPQw,Rob Gronkowski Gets Blindsided by Spicy Wings | Hot Ones,First We Feast,1,"rob, gronkowski, gronk",1452,0.070060165,0.181875744,1.472677596,0.112328508,0.286856154,0.0697733,0.184810577,1.462745098,0.111103981,0.289692355,0.29910558,0.199111603,0.082748321,0.055357841,0.30167674,0.200542865,0.083618321,0.055800473
2,17,25,Rob Corddry,0,,0,verified,YmNt0kpaZGE,https://www.youtube.com/watch?v=YmNt0kpaZGE,Rob Corddry Cries Real Tears Eating Spicy Wings | Hot Ones,First We Feast,1,"rob, corddry, cordry",1266,0.131630174,0.196691114,1.911032028,0.203721027,0.289727941,0.15156,0.191528748,2.146341463,0.234976744,0.2773428,0.277271213,0.184936554,0.07899199,0.052244842,0.268855823,0.17911452,0.077278621,0.049761373
2,18,26,Jeff Ross,0,,1,verified,iYBCT7f7Kng,https://www.youtube.com/watch?v=iYBCT7f7Kng,Jeff Ross Gets Roasted by Spicy Wings | Hot Ones,First We Feast,1,"jeff, ross",1328,0.087864834,0.182614908,1.524096386,0.139241647,0.282240717,0.0919527,0.185166082,1.551020408,0.14712432,0.288148644,0.33947952,0.236791669,0.099080311,0.067445479,0.334437829,0.235427137,0.100048753,0.068143622
2,19,27,David Cross,0,,1,verified,Df28IhTwG-w,https://www.youtube.com/watch?v=Df28IhTwG-w,David Cross Embraces the Extremes of Spicy Wings | Hot Ones,First We Feast,1,"david, cross",1624,0.119603017,0.20476592,1.821989529,0.180181169,0.297563487,0.1457803,0.199039388,2.04587156,0.219548645,0.283562375,0.300073022,0.199133511,0.088585874,0.058290044,0.291854376,0.194516958,0.08908298,0.05876562
2,20,28,Eric Andre,0,,1,verified,GVLAAMZeraQ,https://www.youtube.com/watch?v=GVLAAMZeraQ,Eric Andre Turns Into Tay Zonday While Eating Spicy Wings | Hot Ones,First We Feast,1,"eric, andre",9240,0.093961522,0.183273425,1.705188679,0.151370619,0.28656072,0.2207694,0.192577581,3.078313253,0.326099557,0.250109167,0.330398111,0.227885447,0.099048187,0.066987709,0.30135297,0.20905784,0.100959536,0.065085348
2,21,29,Joe Budden,0,,1,verified,7LxMd8yV1cE,https://www.youtube.com/watch?v=7LxMd8yV1cE,Joe Budden Keeps It Real While Eating Spicy Wings | Hot Ones,First We Feast,1,"joe, budden",5156,0.045516466,0.229502523,1.197266786,0.063462115,0.318848964,0.095095,0.241874442,1.525083612,0.125953642,0.316476741,0.436391975,0.305522836,0.127666251,0.093368024,0.414463754,0.283909347,0.127031133,0.088997464
2,22,30,Matty Matheson,0,,1,verified,S8XQHKg0Fjo,https://www.youtube.com/watch?v=S8XQHKg0Fjo,Matty Matheson Turns Into a Motivational Speaker Eating Spicy Wings | Hot Ones,First We Feast,1,"matty, matt, metheson",2896,0.207548653,0.202936909,2.954545455,0.314033908,0.273616074,0.2521773,0.20998131,3.55033557,0.37194292,0.265160972,0.29981376,0.209127662,0.094288816,0.062592446,0.295562344,0.207429006,0.094669754,0.062176751
2,23,31,RZA and Paul Banks,0,,1,verified,W7nGMd9SNiY,https://www.youtube.com/watch?v=W7nGMd9SNiY,RZA and Paul Banks Tag Team Spicy Wings | Hot Ones,First We Feast,1,"rza, paul, banks",1016,0.12429311,0.173086943,2.045454545,0.209422554,0.273807686,0.1241642,0.172043535,2.056701031,0.209383137,0.272280597,0.267646433,0.18330691,0.073855646,0.049089218,0.268116104,0.1839975,0.074084708,0.049410993
2,24,32,Bert Kreischer,0,,1,verified,1B9cdcjI2_U,https://www.youtube.com/watch?v=1B9cdcjI2_U,Bert Kreischer Sweats Profusely Eating Spicy Wings | Hot Ones,First We Feast,1,"bert, kreischer",4338,0.147145758,0.196888385,2.10989011,0.22555417,0.284117417,0.2059262,0.194040925,2.957055215,0.319265426,0.264653346,0.340446752,0.228032675,0.094365508,0.061306166,0.337888811,0.227190523,0.091305777,0.057168804
2,25,33,YG,0,,1,verified,bMPw4MgkFfU,https://www.youtube.com/watch?v=bMPw4MgkFfU,YG Keeps His Bool Eating Spicy Nuggets | Hot Ones,First We Feast,1,yg,4247,0.018828797,0.1799673,1.15186722,0.030839144,0.294392867,0.0478914,0.189349526,1.275735294,0.077368982,0.30361519,0.419955834,0.301173345,0.111415603,0.076463399,0.396553076,0.278719057,0.106860761,0.071037631
2,26,34,Jay Pharoah,0,,1,verified,idvYvMPpTYc,https://www.youtube.com/watch?v=idvYvMPpTYc,Jay Pharoah Has a Staring Contest While Eating Spicy Wings | Hot Ones,First We Feast,1,"jay, pharoah",3953,0.292491272,0.192366252,4.135738832,0.386824356,0.217917091,0.312654,0.198730862,4.335714286,0.418546185,0.221717867,0.273443669,0.179963793,0.084875864,0.054091863,0.25670803,0.169581876,0.077630272,0.048977153
2,27,35,Harley Morenstein,0,,1,verified,GLe0YBtpvWI,https://www.youtube.com/watch?v=GLe0YBtpvWI,Harley Morenstein Has His Worst Day of 2016 Eating Spicy Wings | Hot Ones,First We Feast,1,"harley, morenstein",2934,0.14598381,0.198835033,2.170771757,0.22181072,0.285294702,0.1685081,0.191899825,2.365079365,0.264949843,0.27617706,0.31370495,0.213983912,0.094247289,0.062097695,0.294119727,0.198488409,0.090269083,0.055834086
2,28,36,Travis Kelce,0,,1,verified,8EZfZ--5mAQ,https://www.youtube.com/watch?v=8EZfZ--5mAQ,Travis Kelce Gets Woozy Eating Spicy Wings | Hot Ones,First We Feast,1,"travis, kelce",1442,0.129875035,0.184451733,2.073333333,0.203123427,0.273602445,0.1280134,0.184572265,2.014150943,0.200333959,0.274357222,0.292945129,0.195302516,0.083772337,0.052516722,0.295019512,0.19572991,0.0831415,0.051488587
